,TRTALONE,year
211197,395,2020
211198,317,2020
211199,150,2020
211200,0,2020
211201,492,2020
211202,870,2020
211203,490,2020
211204,100,2020
211205,830,2020
211206,283,2020
211207,340,2020
211208,477,2020
211209,250,2020
211210,0,2020
211211,410,2020
211212,90,2020
211213,645,2020
211214,840,2020
211215,580,2020
211216,600,2020
211217,870,2020
211218,200,2020
211219,130,2020
211220,975,2020
211221,60,2020
211222,75,2020
211223,145,2020
211224,570,2020
211225,229,2020
211226,110,2020
211227,858,2020
211228,135,2020
211229,526,2020
211230,210,2020
211231,740,2020
211232,100,2020
211233,655,2020
211234,190,2020
211235,380,2020
211236,765,2020
211237,900,2020
211238,0,2020
211239,30,2020
211240,20,2020
211241,170,2020
211242,105,2020
211243,960,2020
211244,0,2020
211245,384,2020
211246,421,2020
211247,312,2020
211248,163,2020
211249,410,2020
211250,416,2020
211251,530,2020
211252,890,2020
211253,515,2020
211254,730,2020
211255,90,2020
211256,515,2020
211257,139,2020
211258,80,2020
211259,89,2020
211260,0,2020
211261,600,2020
211262,722,2020
211263,230,2020
211264,340,2020
211265,470,2020
211266,150,2020
211267,855,2020
211268,735,2020
211269,438,2020
211270,95,2020
211271,175,2020
211272,165,2020
211273,885,2020
211274,550,2020
211275,205,2020
211276,780,2020
211277,519,2020
211278,1035,2020
211279,495,2020
211280,185,2020
211281,130,2020
211282,1065,2020
211283,133,2020
211284,330,2020
211285,0,2020
211286,140,2020
211287,960,2020
211288,752,2020
211289,392,2020
211290,151,2020
211291,260,2020
211292,400,2020
211293,0,2020
211294,115,2020
211295,65,2020
211296,105,2020
211297,200,2020
211298,690,2020
211299,60,2020
211300,730,2020
211301,410,2020
211302,355,2020
211303,15,2020
211304,990,2020
211305,0,2020
211306,275,2020
211307,104,2020
211308,75,2020
211309,660,2020
211310,720,2020
211311,0,2020
211312,595,2020
211313,437,2020
211314,30,2020
211315,30,2020
211316,755,2020
211317,450,2020
211318,105,2020
211319,540,2020
211320,75,2020
211321,290,2020
211322,928,2020
211323,360,2020
211324,131,2020
